FXRT_Name,t_break,alpha_1,alpha_2,amplitude,t_break_err,alpha_1_err,alpha_2_err,amplitude_err,time_plt_start,time_plt_start_err
FXRT_1,118.15002096061396,0.0118717336710314,3.9700582369830086,9.198881992200756e-11,2.340221097371868,0.0558429241526741,0.1651591977684057,3.992260058342998e-12,20.0,3.2409602254629135
FXRT_2,5887.509037863256,0.0401594227322096,1.6509223794050256,3.5682568688667723e-14,1567.861815830899,0.0965355400438924,0.4227661421438873,9.391608406561496e-15,20.0,1124.6265544891355
FXRT_3,1008.2107857717526,-0.1972935960288117,0.8245330405141038,2.515950618069877e-14,10090354620.908922,2608699.574926325,0.2102604781567324,2.0761812604014487e-07,20.0,2186.142284452915
FXRT_4,13917.633704923295,-0.3143942973320174,1.4933238000412092,1.362612445051336e-14,5781.850055193653,0.0848758644334732,3.647040545730176,3.457658737187764e-15,20.0,15148.463271975515
FXRT_5,8000.0,-0.999999999999993,10.0,5.809633063098413e-14,,,,,20.0,14185.929190337658
FXRT_7,1114.081973648361,-0.2208569883151318,1.5523905132874505,1.3640940588411037e-12,101.92649925626414,0.0847973307361596,0.1023429645254434,1.3861661920600433e-13,20.0,139.3630158007145
FXRT_8,23753.574788450293,-0.1896029297420331,2.028857695389734,5.556992714394895e-15,3280.6681669799423,0.0301079953296604,1.080074931254096,5.532907239026783e-16,20.0,18940.237333536148
FXRT_9,4782.6518085279995,-2.499759714342757,4.288559740674002,4.199940767120855e-14,802.0775591464862,1.916600176043377,2.900801300090683,2.0804134358778383e-14,20.0,3584.547945857048
FXRT_10,2708.695217703359,0.0010680521584654,2.3923696647437547,1.9556922129793433e-14,534.9249589405631,0.093347856653273,0.6163695985334194,4.2949685152111e-15,20.0,637.6228026747704
FXRT_11,950.036846167232,-1.4680654324704898,28.770520969683737,3.6469038170496204e-11,,,3.4906562770285885,,20.0,411.47136121988297
FXRT_6,,0.2756064266320334,,4.724947518930685e-14,,0.0752819414928137,,2.8394314173657068e-14,20.0,1184.165604531765
FXRT_12,1356.9990430222083,-0.056507909900081824,1.5607699358443703,2.2409302340581443e-13,269.604273366841,0.12788000230765975,0.23767789123901162,4.906530720897648e-14,20.0,241.85946261882782
FXRT_14,129.27543203988265,-1.0067780503921702,1.4384912707604798,1.560478411332158e-12,14.13424856227439,0.23674791244172771,0.06405066022848574,2.285347105995537e-13,20.0,103.65380561351776
FXRT_15,4182.313112889054,-0.3896916126946194,6.019456936794369,7.726074057876544e-14,,0.049724091303671204,,,20.0,5094.744721233845
FXRT_16,2276.0227129183518,0.0918576424679788,2.0861586284655442,4.0246984870470626e-13,346.66953993729385,0.12682633208676547,0.3075740997155793,8.021791259927937e-14,20.0,75.384064078331
FXRT_19,1601.5244140245488,-0.008762444485198995,1.4535232686889505,6.49367359481644e-13,271.87587573793434,0.09682837080913803,0.3207652734161517,9.139074228779989e-14,20.0,91.09076535701752
FXRT_20,113.05853650884465,-1.0467269512919342,2.5087373620295925,3.694593011378983e-12,8.83202980437875,0.19741801731226866,0.35592863389282287,5.311809952618472e-13,20.0,94.23012590408325
FXRT_22,4549.372294512757,0.16060884645130086,6.071324932074311,3.209335187975599e-13,290.8346442514219,0.05818061247773984,2.3704386244499602,3.594867895821558e-14,20.0,135.06414830684662
FXRT_13,,0.17837996270680634,,3.302266070618599e-14,,0.027600367205788817,,6.905503852600014e-15,20.0,1457.4237303733826
FXRT_17,,0.34758934690641163,,1.0887421243167941e-12,,0.10356282068007319,,7.369612046702258e-13,20.0,254.42447447776794
FXRT_18,,0.4904502375013229,,4.602114516438261e-11,,0.13742430685860682,,3.757222927749206e-11,20.0,81.02624452114105
FXRT_21,,0.3613357591696716,,7.954498950514721e-13,,0.1232463167376541,,6.445780498362529e-13,20.0,257.566325545311
