time	tpos	tneg	flux	fpos	fneg
-23.1999999988079	0.04	0.04	1.04282950850213e-07	2.03196365492375e-08	2.03196365492375e-08
-23.0800000014901	0.08	0.08	7.45117192238486e-08	1.39046490430098e-08	1.39046490430098e-08
-22.98	0.02	0.02	1.5948906342856e-07	2.9351812919114e-08	2.9351812919114e-08
-22.9199999976158	0.04	0.04	1.28665978722438e-07	2.12616634143562e-08	2.12616634143562e-08
-22.839999999404	0.04	0.04	1.29957173035633e-07	2.03728038146437e-08	2.03728038146437e-08
-22.7800000119209	0.02	0.02	1.99416074053103e-07	3.29714891923167e-08	3.29714891923167e-08
-22.7399999904633	0.02	0.02	3.14998085412906e-07	4.1198926343905e-08	4.1198926343905e-08
-22.6999999988079	0.02	0.02	5.43210658795503e-07	4.80316086782923e-08	4.80316086782923e-08
-22.6600000071526	0.02	0.02	9.82016037608112e-07	6.23488750277692e-08	6.23488750277692e-08
-22.6199999856949	0.02	0.02	8.39738474766501e-07	5.74168595147467e-08	5.74168595147467e-08
-22.5799999940395	0.02	0.02	7.35529607242598e-07	5.63731048919304e-08	5.63731048919304e-08
-22.5400000023842	0.02	0.02	6.08777740660117e-07	4.41827021369739e-08	4.41827021369739e-08
-22.5000000107288	0.02	0.02	4.16387322270999e-07	3.93968451374456e-08	3.93968451374456e-08
-22.4599999892712	0.02	0.02	3.99565085685733e-07	4.0334010535054e-08	4.0334010535054e-08
-22.4199999976158	0.02	0.02	5.18051046377861e-07	4.45014675747657e-08	4.45014675747657e-08
-22.3800000059605	0.02	0.02	7.45271166423231e-07	5.27089047205663e-08	5.27089047205663e-08
-22.3400000143051	0.02	0.02	5.92114731032684e-07	4.55103200607608e-08	4.55103200607608e-08
-22.2999999928474	0.02	0.02	4.07838341615457e-07	3.76780801821378e-08	3.76780801821378e-08
-22.2600000011921	0.02	0.02	1.87627204244299e-07	3.21361893479401e-08	3.21361893479401e-08
-22.2200000095367	0.02	0.02	1.53588173406983e-07	3.06300499921361e-08	3.06300499921361e-08
-22.0399999986589	0.16	0.16	4.93114527157745e-08	9.27641801380069e-09	9.27641801380069e-09
-21.7199999983609	0.16	0.16	3.37333531386988e-08	9.38575574811472e-09	9.38575574811472e-09
-21.4000000017881	0.16	0.16	5.42043272052025e-08	9.15992214831005e-09	9.15992214831005e-09
-13.8799999999675	7.35999999999993	7.35999999999993	5.10079296972546e-09	1.33062310547669e-09	1.33062310547669e-09
-5.60000000023323	0.92	0.92	2.07874562355304e-08	3.99100877086772e-09	3.99100877086772e-09
-0.780000000000001	3.9	3.9	1.18135873926655e-08	1.92095394617946e-09	1.92095394617946e-09
3.73999999976927	0.62	0.62	2.74000022388304e-08	4.85270191832774e-09	4.85270191832774e-09
4.76000000059604	0.4	0.4	3.2537672120956e-08	6.29401374896717e-09	6.29401374896717e-09
6.95999999993376	1.8	1.8	1.43656704446566e-08	2.84835593377133e-09	2.84835593377133e-09
14.1599999999338	1.8	1.8	1.60082135130273e-08	2.83947044043699e-09	2.83947044043699e-09
19.6400000000713	3.68	3.68	1.07473002795033e-08	1.98083117327768e-09	1.98083117327768e-09
26.9999999999612	3.68	3.68	1.02047174924353e-08	1.96038615313542e-09	1.96038615313542e-09
50.9400000000076	20.2599999999997	20.2599999999997	4.7754312307124e-09	8.31673029729849e-10	8.31673029729849e-10
91.4599999999989	20.2599999999997	20.2599999999997	2.8531624719268e-09	7.45741933885951e-10	7.45741933885951e-10
168.252	21.972	13.13	4.03264520672015e-11	9.0531075770935e-12	9.0531075770935e-12
233.731	49.264	43.507	1.49062292250401e-11	3.36308697429848e-12	3.36308697429848e-12
353.568	92.402	70.573	8.392932074047e-12	1.8916925898384e-12	1.8916925898384e-12
548.155	103.414	102.185	6.6262781948878e-12	1.48314867750413e-12	1.48314867750413e-12
754.572	122.656	103.002	4.4629362281395e-12	1.16461824948145e-12	1.16461824948145e-12
942.599999999999	20.4799999999997	20.4799999999997	1.34595161586746e-09	6.53250677097841e-10	6.53250677097841e-10
1054.97	283.597	177.743	2.74607050418716e-12	6.40668774694491e-13	6.40668774694491e-13
5260.267	386.334	536.36	1.11362089937472e-12	2.97180415498771e-13	2.97180415498771e-13
6291.697	826.681	645.096	1.1676495859854e-12	2.39335224165011e-13	2.39335224165011e-13
14534.958	4141.15	4083.81	4.40029402532566e-13	9.16108552562051e-14	9.16108552562051e-14
