time	tpos	tneg	flux	fpos	fneg
0.0199999602635702	0.06	0.06	6.93767101712119e-08	1.23449799038296e-08	1.23449799038296e-08
0.0999999237060547	0.02	0.02	1.14487733823986e-07	2.21424842261023e-08	2.21424842261023e-08
0.179999966621399	0.06	0.06	8.0795667783667e-08	1.28758715330816e-08	1.28758715330816e-08
0.260000009536743	0.02	0.02	1.29457021891761e-07	2.29215435366788e-08	2.29215435366788e-08
0.359999943971634	0.08	0.08	7.62391573379049e-08	1.09956873322864e-08	1.09956873322864e-08
0.479999918937683	0.04	0.04	9.33322787302848e-08	1.63088656796903e-08	1.63088656796903e-08
0.539999980926514	0.02	0.02	1.19610048610213e-07	2.36667625479436e-08	2.36667625479436e-08
0.599999923706055	0.04	0.04	7.70452790679112e-08	1.54687248531231e-08	1.54687248531231e-08
0.659999985694885	0.02	0.02	1.26505881799032e-07	2.20350544471066e-08	2.20350544471066e-08
0.719999928474426	0.04	0.04	8.62188276552467e-08	1.61191792524662e-08	1.61191792524662e-08
0.799999971389771	0.04	0.04	7.57559125450377e-08	1.60688189312398e-08	1.60688189312398e-08
0.859999914169312	0.02	0.02	1.30829277833235e-07	2.5422316263322e-08	2.5422316263322e-08
0.899999995231628	0.02	0.02	1.20322109557872e-07	2.68218615678101e-08	2.68218615678101e-08
0.939999957084656	0.02	0.02	1.89744353088246e-07	2.85041135717931e-08	2.85041135717931e-08
0.999999959468842	0.04	0.04	9.28422917813665e-08	1.87966315765292e-08	1.87966315765292e-08
1.07999994277954	0.04	0.04	1.0110214765592e-07	1.77100136580858e-08	1.77100136580858e-08
1.29999995814429	0.18	0.18	4.51066057747857e-08	7.07572036258855e-09	7.07572036258855e-09
1.53999994119008	0.06	0.06	6.34352688590207e-08	1.21029454147209e-08	1.21029454147209e-08
1.67999993681908	0.08	0.08	5.89818047054708e-08	1.10286858010782e-08	1.10286858010782e-08
1.89999996117183	0.14	0.14	3.9323868364798e-08	7.50915413799315e-09	7.50915413799315e-09
2.53999995231629	0.5	0.5	1.93160569731413e-08	3.51710003800408e-09	3.51710003800408e-09
5.53999995231628	2.5	2.5	9.6545028010589e-09	1.5293802039429e-09	1.5293802039429e-09
8.2599999553507	0.22	0.22	2.96950524818522e-08	5.70263005541395e-09	5.70263005541395e-09
8.59999994357427	0.12	0.12	4.18909518086259e-08	7.96144669735233e-09	7.96144669735233e-09
9.67999995172023	0.960000000000001	0.960000000000001	1.51589158445456e-08	2.46886942784288e-09	2.46886942784288e-09
10.8399999570847	0.2	0.2	3.25204276421557e-08	6.05536754167803e-09	6.05536754167803e-09
11.1799999666214	0.14	0.14	4.23327464547803e-08	8.01968131700205e-09	8.01968131700205e-09
11.3799999348323	0.06	0.06	6.949584856387e-08	1.31112072780003e-08	1.31112072780003e-08
11.4799999189377	0.04	0.04	7.97900164833362e-08	1.56495726950033e-08	1.56495726950033e-08
11.6399999451637	0.12	0.12	5.78887885342096e-08	9.33910206305993e-09	9.33910206305993e-09
11.7999999713898	0.04	0.04	8.26702882565049e-08	1.59454988355676e-08	1.59454988355676e-08
12.0199999602636	0.18	0.18	3.92328054015622e-08	6.73191789814796e-09	6.73191789814796e-09
12.5599999486076	0.36	0.36	2.42699448377559e-08	4.60206990018912e-09	4.60206990018912e-09
12.9399999570847	0.02	0.02	1.01835003425475e-07	1.87372355311636e-08	1.87372355311636e-08
13.0799999626478	0.12	0.12	4.49700682288617e-08	8.60966138407475e-09	8.60966138407475e-09
13.2399999690056	0.04	0.04	9.23518679130543e-08	1.54331082762389e-08	1.54331082762389e-08
13.3399999332428	0.06	0.06	5.39030098048423e-08	1.21955160287377e-08	1.21955160287377e-08
