time	tpos	tneg	flux	fpos	fneg
81.5121	0.3431	0.3561	6.0982121e-09	7.4541721e-10	7.45661915e-10
82.1224	0.2914	0.2672	5.240198435e-09	7.72879215e-10	7.7305089e-10
82.6858	0.2618	0.272	5.36551628e-09	8.0011014e-10	8.0028454e-10
83.274	0.4244	0.3264	5.6247161e-09	6.96264205e-10	6.96482205e-10
84.0184	0.2991	0.32	4.72821944e-09	6.97376005e-10	6.9753133e-10
84.6518	0.3773	0.3343	5.93419435e-09	7.34561355e-10	7.3478971e-10
85.3304	0.3303	0.3013	6.68635975e-09	8.2762828e-10	8.2788007e-10
85.9714	0.3671	0.3107	6.230004e-09	7.71088345e-10	7.7131234e-10
86.6117	0.2872	0.2732	5.110015375e-09	7.6191545e-10	7.6206478e-10
87.2172	0.3222	0.3183	6.52947605e-09	8.1849299e-10	8.1871317e-10
87.9122	0.3656	0.3727	5.66426675e-09	7.1004562e-10	7.10239095e-10
88.5631	0.3534	0.2853	4.41974726e-09	6.7157298e-10	6.7169724e-10
89.1453	0.3157	0.2287	5.37720544e-09	7.9297936e-10	7.9313414e-10
89.7514	0.3483	0.2904	4.48376514e-09	6.6850572e-10	6.68625075e-10
90.4191	0.2463	0.3195	4.989697905e-09	7.5814296e-10	7.58272125e-10
90.9496	0.3207	0.2842	6.9812756e-09	8.6399395e-10	8.6421958e-10
91.548	0.2808	0.2777	7.41063205e-09	9.28894185e-10	9.29123085e-10
92.1399	0.2849	0.3111	6.7194358e-09	8.53109755e-10	8.53300505e-10
92.763	0.3272	0.3381	6.13745755e-09	7.59512545e-10	7.596864e-10
93.4181	0.3588	0.3279	4.03261523e-09	6.01216205e-10	6.0131267e-10
94.1277	0.3662	0.3508	5.6957296e-09	7.0486485e-10	7.0503489e-10
94.8097	0.3745	0.3158	5.38103788e-09	6.98762485e-10	6.98913995e-10
95.4676	0.3411	0.2833	6.60294205e-09	8.0682345e-10	8.0701856e-10
96.1465	0.2867	0.3378	4.37149405e-09	6.64189865e-10	6.64292325e-10
96.75	0.2898	0.3169	4.564658945e-09	6.8053932e-10	6.8064832e-10
97.2993	0.2743	0.2595	5.114609725e-09	7.77101875e-10	7.772245e-10
98.0356	0.3564	0.462	3.38388647e-09	5.045037205e-10	5.04586942e-10
98.7366	0.2835	0.3446	4.40960154e-09	6.5742369e-10	6.57529965e-10
99.3177	0.3251	0.2976	5.37225466e-09	7.35802865e-10	7.3594729e-10
99.9823	0.2956	0.3395	4.45706886e-09	6.57248745e-10	6.57362105e-10
100.6449	0.3713	0.367	3.75088838e-09	5.59211965e-10	5.59300255e-10
101.3205	0.249	0.3043	4.933770005e-09	7.496148e-10	7.4972707e-10
101.8369	0.2521	0.2674	5.25473631e-09	7.98396115e-10	7.9852419e-10
102.3554	0.2656	0.2664	5.128857115e-09	7.79258985e-10	7.79377795e-10
102.9664	0.3378	0.3454	3.93385905e-09	6.09211355e-10	6.0929801e-10
103.682	0.3125	0.3779	5.9668126e-09	7.2907593e-10	7.29242155e-10
104.3195	0.2924	0.325	4.41724244e-09	6.71130985e-10	6.71229085e-10
104.9408	0.2563	0.329	4.591494745e-09	7.11056595e-10	7.11159055e-10
105.5137	0.3898	0.3165	3.916903555e-09	5.8396314e-10	5.84055245e-10
106.1828	0.2634	0.2793	5.098257545e-09	7.6008861e-10	7.6020851e-10
106.8001	0.3488	0.3539	3.88050246e-09	5.8958318e-10	5.89669835e-10
107.4241	0.399	0.2752	5.320817015e-09	7.02861975e-10	7.0299659e-10
108.2212	0.3545	0.3981	3.62360581e-09	5.50555185e-10	5.50638025e-10
108.9599	0.3151	0.3841	3.843765645e-09	5.95261535e-10	5.95347645e-10
109.5535	0.3068	0.2785	4.72634137e-09	7.04640855e-10	7.0475258e-10
110.2669	0.3548	0.4067	3.581274025e-09	5.44130943e-10	5.442171075e-10
111.0404	0.4069	0.4187	3.377914905e-09	5.07414293e-10	5.07495825e-10
111.8442	0.352	0.397	3.69349552e-09	5.5066691e-10	5.50760105e-10
112.5914	0.4322	0.3951	3.344270965e-09	4.985972285e-10	4.986794145e-10
113.5361	0.4375	0.5126	2.836292815e-09	4.39245039e-10	4.393112565e-10
