time	tpos	tneg	flux	fpos	fneg
108.955	0.702	0.607	1.535049788e-09	2.344575404e-10	2.344571696e-10
110.444	0.841	0.787	1.234630924e-09	1.885727296e-10	1.885724412e-10
112.006	0.658	0.721	1.40608596e-09	2.256007352e-10	2.256004468e-10
113.527	0.977	0.863	1.092542012e-09	1.668706296e-10	1.668703824e-10
115.089	0.695	0.586	1.596749672e-09	2.3803094e-10	2.38030528e-10
116.534	0.655	0.749	1.431788168e-09	2.186857684e-10	2.186854388e-10
117.846	0.727	0.657	1.47772246e-09	2.202872948e-10	2.20286924e-10
119.294	0.581	0.721	1.571112148e-09	2.342090632e-10	2.342086924e-10
120.526	0.674	0.651	1.490127368e-09	2.332421816e-10	2.33241852e-10
122.075	0.892	0.875	1.158201628e-09	1.72655604e-10	1.726553568e-10
123.785	0.699	0.818	1.301456912e-09	2.037105984e-10	2.0371031e-10
125.586	1.19	1.102	8.92947376e-10	1.331136156e-10	1.331134096e-10
127.62	1.026	0.844	1.094303312e-09	1.631301228e-10	1.631298756e-10
129.454	0.792	0.808	1.257544716e-09	1.920725048e-10	1.920721752e-10
131.067	1.2	0.822	1.013349432e-09	1.510622308e-10	1.510619836e-10
132.908	0.69	0.641	1.485495664e-09	2.325172264e-10	2.325168968e-10
134.231	0.668	0.634	1.572619244e-09	2.344337268e-10	2.34433356e-10
136.155	1.054	1.256	8.86891388e-10	1.322108412e-10	1.32210594e-10
138.129	1.427	0.92	8.57593656e-10	1.309855532e-10	1.309853472e-10
140.815	1.08	1.259	8.60250644e-10	1.313913732e-10	1.313911672e-10
142.781	1.055	0.886	1.055242004e-09	1.573072444e-10	1.57306956e-10
144.858	0.901	1.022	1.065008876e-09	1.587632112e-10	1.587629228e-10
147.536	1.13	1.777	6.8008222e-10	1.064499232e-10	1.064497584e-10
150.318	1.364	1.652	6.674091e-10	1.019375344e-10	1.019373696e-10
153.443	1.525	1.761	6.12481672e-10	9.35480608e-11	9.35479372e-11
156.609	1.445	1.64	6.52396644e-10	9.96445896e-11	9.96444248e-11
159.436	1.37	1.382	7.31253856e-10	1.11688874e-10	1.116887092e-10
162.081	1.206	1.276	8.25200156e-10	1.230143832e-10	1.230141772e-10
164.396	0.957	1.109	9.9149036e-10	1.478035992e-10	1.47803352e-10
166.567	0.915	1.214	9.61677216e-10	1.43359314e-10	1.433590668e-10
168.974	1.537	1.492	6.6457248e-10	1.01504234e-10	1.015040692e-10
172.201	1.654	1.691	6.19789728e-10	9.23933896e-11	9.23932248e-11
175.447	1.65	1.592	6.3879776e-10	9.75674504e-11	9.75673268e-11
178.513	1.778	1.416	6.5987774e-10	9.83693672e-11	9.83692024e-11
182.331	1.402	2.04	5.94640836e-10	9.0823134e-11	9.08230104e-11
185.395	1.87	1.662	5.59569748e-10	8.75867092e-11	8.75865856e-11
188.676	1.511	1.412	6.76054508e-10	1.058194808e-10	1.05819316e-10
192.203	1.685	2.016	5.53285512e-10	8.24794336e-11	8.247931e-11
196.217	1.889	2.329	4.85552712e-10	7.2382426e-11	7.23823024e-11
200.468	2.382	2.361	4.31827088e-10	6.43733932e-11	6.43733108e-11
204.711	1.994	1.862	3.735767152e-10	7.06492656e-11	7.06491832e-11
208.413	1.674	1.709	4.035246244e-10	7.36735104e-11	7.3673428e-11
211.705	2.038	1.618	5.599286e-10	8.3469758e-11	8.34696344e-11
216.119	2.166	2.376	4.3504728e-10	6.8095772e-11	6.80956484e-11
220.323	1.988	2.038	3.979458148e-10	6.83709056e-11	6.83708232e-11
246.808	18.78	18.829	1.068596984e-10	2.394592616e-11	2.394592616e-11
303.729	89.732	38.141	2.546301316e-11	5.73609472e-12	5.73609472e-12
548.99	228.09	155.529	1.993298436e-12	5.22981264e-13	5.22981264e-13
1567.956	891.52	790.876	4.92715744e-13	1.271053372e-13	1.271053372e-13
