time	tpos	tneg	flux	fpos	fneg
0.0159999918937683	0.02	0.02	1.21732804648809e-06	2.19528919054399e-07	2.19528919054399e-07
0.0560000133514404	0.02	0.02	7.0162444689969e-07	1.55125336739879e-07	1.55125336739879e-07
0.396000005751848	0.32	0.32	1.26559420296989e-07	3.13193258852512e-08	3.13193258852512e-08
23.5960000050071	22.8799999999996	22.8799999999996	8.39508009268966e-09	2.72312928662309e-09	2.72312928662309e-09
46.4960000109673	0.02	0.02	2.07672058956729e-07	4.92784175171428e-08	4.92784175171428e-08
57.436000004981	10.9199999999999	10.9199999999999	8.29838000603496e-09	1.91184912414602e-09	1.91184912414602e-09
88.6360000050091	20.2799999999997	20.2799999999997	3.12982287491879e-09	1.2816741529569e-09	1.2816741529569e-09
108.955	0.702	0.607	2.41720594476809e-09	3.69192396284616e-10	3.69192378713704e-10
110.444	0.841	0.787	2.06609920128846e-09	3.15566027292822e-10	3.15566036932146e-10
112.006	0.658	0.721	2.50590149354894e-09	4.02059390918296e-10	4.02059446437532e-10
113.527	0.977	0.863	2.0684587291569e-09	3.15926404052985e-10	3.15926431832594e-10
115.089	0.695	0.586	2.89068582199697e-09	4.30918035765343e-10	4.30917986585316e-10
116.534	0.655	0.749	2.46684455438058e-09	3.76773944014277e-10	3.76773965065967e-10
117.846	0.727	0.657	2.49889043608294e-09	3.72512649473837e-10	3.72512628777248e-10
119.294	0.581	0.721	2.64011214960014e-09	3.9356466491696e-10	3.93564676842039e-10
120.526	0.674	0.651	2.50402020921845e-09	3.91939465930514e-10	3.9193948682977e-10
122.075	0.892	0.875	1.95339899712901e-09	2.9119552223797e-10	2.91195580253821e-10
123.785	0.699	0.818	2.25572786781405e-09	3.53075830110186e-10	3.5307585573243e-10
125.586	1.19	1.102	1.61506099602629e-09	2.40759107971628e-10	2.40759131222463e-10
127.62	1.026	0.844	2.0062950685335e-09	2.99080748073817e-10	2.99080778396893e-10
129.454	0.792	0.808	2.22726017331828e-09	3.40180981892811e-10	3.40180930922556e-10
131.067	1.2	0.822	1.74247091084837e-09	2.59752283244665e-10	2.59752286100673e-10
132.908	0.69	0.641	2.48733698960901e-09	3.89328177549963e-10	3.8932820394413e-10
134.231	0.668	0.634	2.6124180967844e-09	3.89436256652723e-10	3.89436279689808e-10
136.155	1.054	1.256	1.52175741099883e-09	2.26850226537545e-10	2.26850176845694e-10
138.129	1.427	0.92	1.50155701827736e-09	2.29340583148126e-10	2.29340591305359e-10
140.815	1.08	1.259	1.49770846259338e-09	2.28752776576228e-10	2.28752785823716e-10
142.781	1.055	0.886	1.82386486819366e-09	2.71885713408184e-10	2.71885682463442e-10
144.858	0.901	1.022	1.79196633373548e-09	2.6713055038957e-10	2.67130525378964e-10
147.536	1.13	1.777	1.11650768396114e-09	1.74760390168869e-10	1.74760388287878e-10
150.318	1.364	1.652	1.0947790759361e-09	1.67211338969447e-10	1.67211338092398e-10
153.443	1.525	1.761	1.00773984070696e-09	1.53917274986361e-10	1.53917319163484e-10
156.609	1.445	1.64	1.0855278088991e-09	1.65798338075235e-10	1.65798335447592e-10
159.436	1.37	1.382	1.23004772981124e-09	1.87871512693523e-10	1.87871538822574e-10
162.081	1.206	1.276	1.40783209373782e-09	2.09867217249926e-10	2.09867212921626e-10
164.396	0.957	1.109	1.70391140282716e-09	2.54004087371786e-10	2.5400408016641e-10
166.567	0.915	1.214	1.61256973590327e-09	2.40387711955401e-10	2.40387693461844e-10
168.974	1.537	1.492	1.1029504924035e-09	1.68459365129213e-10	1.68459354406848e-10
172.201	1.654	1.691	1.07771804898728e-09	1.60656735266815e-10	1.60656705844359e-10
175.447	1.65	1.592	1.12939071527024e-09	1.72497652732967e-10	1.72497696148325e-10
178.513	1.778	1.416	1.12764570910971e-09	1.68099463028595e-10	1.68099450458552e-10
182.331	1.402	2.04	9.78000474513766e-10	1.4937507788669e-10	1.4937510808641e-10
185.395	1.87	1.662	9.213705570111e-10	1.44216764104936e-10	1.4421677608759e-10
188.676	1.511	1.412	1.11495743591857e-09	1.74517750947924e-10	1.74517744824305e-10
192.203	1.685	2.016	9.17776701568422e-10	1.36814003306843e-10	1.36814024571192e-10
196.217	1.889	2.329	8.22919787700623e-10	1.22673677776929e-10	1.22673674591217e-10
200.468	2.382	2.361	7.6509273974753e-10	1.14053261588112e-10	1.14053308151797e-10
204.711	1.994	1.862	6.58254804469132e-10	1.24485879919624e-10	1.2448586531684e-10
208.413	1.674	1.709	6.80838956246061e-10	1.2430363227732e-10	1.2430363031425e-10
211.705	2.038	1.618	9.29600727939905e-10	1.38576662853165e-10	1.3857669022573e-10
216.119	2.166	2.376	7.44338663987571e-10	1.1650692283004e-10	1.16506884409456e-10
220.323	1.988	2.038	7.0026219916733e-10	1.20311175069952e-10	1.20311178391954e-10
246.808	18.78	18.829	1.86272484557102e-10	4.17413414751328e-11	4.17413414751328e-11
303.729	89.732	38.141	4.43858516975131e-11	9.99887358047488e-12	9.99887358047488e-12
548.99	228.09	155.529	3.47461819279761e-12	9.11634796660568e-13	9.11634796660568e-13
920.336000014544	0.02	0.02	1.80663295770363e-07	4.33258146535828e-08	4.33258146535828e-08
1567.956	891.52	790.876	8.58877455106882e-13	2.21563670075942e-13	2.21563670075942e-13
