time	tpos	tneg	flux	fpos	fneg
79.565	0.394	0.334	8.31296797e-09	1.075913228e-09	1.049067007e-09
80.326	0.362	0.368	8.2929927e-09	1.069007754e-09	1.046140418e-09
81.247	0.503	0.559	5.8262151e-09	7.4764582e-10	7.14037024e-10
82.17	0.493	0.42	6.70390775e-09	9.1416904e-10	8.35654124e-10
83.146	0.497	0.483	6.17146695e-09	8.50908483e-10	7.8125986e-10
84.189	0.473	0.546	6.07027523e-09	8.00641684e-10	7.44994541e-10
84.997	0.43	0.335	8.08886563e-09	1.033884316e-09	9.91559992e-10
85.817	0.354	0.39	8.44526535e-09	1.065059022e-09	1.027274691e-09
86.617	0.451	0.446	6.90126132e-09	8.61957154e-10	8.43884145e-10
87.543	0.384	0.475	7.03944946e-09	9.04831661e-10	8.87787787e-10
88.318	0.344	0.391	8.4218203e-09	1.051040062e-09	1.029640609e-09
89.063	0.327	0.401	8.3127888e-09	1.083293284e-09	1.049756593e-09
89.744	0.342	0.354	8.81160245e-09	1.135341295e-09	1.080190147e-09
90.516	0.468	0.431	6.6035507e-09	8.97757068e-10	8.35628778e-10
91.463	0.437	0.479	6.54965986e-09	8.73645156e-10	8.16266182e-10
92.272	0.418	0.372	7.59718382e-09	9.99664594e-10	9.46632896e-10
93.066	0.355	0.377	8.20710472e-09	1.059551511e-09	1.021571841e-09
93.827	0.417	0.406	7.20231062e-09	9.37752619e-10	9.09809965e-10
94.676	0.388	0.431	7.24942359e-09	9.27151436e-10	9.13939615e-10
95.529	0.468	0.466	6.49807201e-09	8.06625525e-10	7.94135191e-10
96.438	0.415	0.441	6.9329613e-09	8.90113501e-10	8.74280991e-10
97.245	0.403	0.392	7.46029357e-09	9.73639059e-10	9.42317521e-10
98.104	0.509	0.456	6.15275461e-09	8.19293718e-10	7.77996344e-10
99.156	0.478	0.543	5.94337043e-09	7.76856648e-10	7.28905075e-10
100.17	0.488	0.537	5.952814e-09	7.95413853e-10	7.3065526e-10
101.121	0.542	0.463	6.15963299e-09	8.24114702e-10	7.56106577e-10
102.156	0.556	0.492	5.90853716e-09	7.87066279e-10	7.25241704e-10
103.202	0.54	0.49	6.01057666e-09	7.69942434e-10	7.37350537e-10
104.25	0.441	0.509	6.29742783e-09	8.37976779e-10	8.08472287e-10
105.258	0.467	0.567	5.98989782e-09	7.50660683e-10	7.32715715e-10
106.191	0.377	0.466	7.34204137e-09	9.12757967e-10	8.97383433e-10
107.13	0.409	0.561	4.89620481e-09	6.10731535e-10	6.07641071e-10
107.808	0.251	0.27	6.2195588e-09	7.72529474e-10	7.72530785e-10
108.365	0.289	0.305	5.39070527e-09	6.80823713e-10	6.80824587e-10
108.893	0.279	0.239	4.256281675e-09	6.34491662e-10	6.34492099e-10
109.515	0.292	0.344	5.16565901e-09	6.3108918e-10	6.31090491e-10
110.108	0.385	0.301	4.72092411e-09	5.86384517e-10	5.86385391e-10
110.77	0.261	0.276	5.96190797e-09	7.5296411e-10	7.52964984e-10
111.336	0.296	0.305	5.39141321e-09	6.69665792e-10	6.69666666e-10
111.976	0.309	0.344	5.04037985e-09	6.2129164e-10	6.21292951e-10
112.644	0.294	0.359	5.02490131e-09	6.1389323e-10	6.13894104e-10
113.171	0.281	0.233	6.5715623e-09	7.91127757e-10	7.91129068e-10
113.714	0.274	0.262	4.114876778e-09	6.13412093e-10	6.13412967e-10
114.298	0.281	0.31	5.48884673e-09	6.8176807e-10	6.81768944e-10
114.811	0.317	0.233	4.134434713e-09	6.25143795e-10	6.25144669e-10
115.409	0.338	0.281	4.20832311e-09	5.84577085e-10	5.84577959e-10
116.057	0.352	0.31	4.89874815e-09	6.08471808e-10	6.08472682e-10
116.702	0.294	0.293	5.52214613e-09	6.85903838e-10	6.85905149e-10
117.314	0.319	0.318	5.12948852e-09	6.26670236e-10	6.26671547e-10
117.942	0.323	0.309	5.04738496e-09	6.16639775e-10	6.16641086e-10
118.481	0.286	0.216	4.287301683e-09	6.47580686e-10	6.4758156e-10
119.005	0.3	0.239	4.096843099e-09	6.19459736e-10	6.1946061e-10
119.693	0.222	0.388	3.508684799e-09	5.23046174e-10	5.23046611e-10
