time	tpos	tneg	flux	fpos	fneg
168.252	21.972	13.13	2.902516736e-11	6.51601986e-12	6.51601986e-12
233.731	49.264	43.507	1.081278282e-11	2.439539102e-12	2.439539102e-12
353.568	92.402	70.573	6.14816762e-12	1.385742554e-12	1.385742554e-12
548.155	103.414	102.185	4.90475202e-12	1.097822376e-12	1.097822376e-12
754.572	122.656	103.002	3.320224964e-12	8.66423894e-13	8.66423894e-13
1054.97	283.597	177.743	2.04374919e-12	4.7681452e-13	4.7681452e-13
5260.267	386.334	536.36	8.3035526e-13	2.215882634e-13	2.215882634e-13
6291.697	826.681	645.096	8.70822092e-13	1.784939618e-13	1.784939618e-13
14534.958	4141.15	4083.81	3.281985448e-13	6.83285008e-14	6.83285008e-14
