GRB Index,GRB Name,amplitude,alpha_1
0,050724,0.01984603051151841,3.234620598552085
1,060614,0.0248017193038244,2.8232483527234455
2,060614,0.0248135077307119,2.8233392176286465
3,150424A,1.678774006196279e-05,2.023792756986748
4,211211A,0.0118416264699871,2.79602280740438
5,,,
6,,,
7,071227,0.0013566731604755,3.091744671540789
