GRB Index,GRB Name,amplitude,alpha_1,alpha_2,t_break
0.0,050724,2.1110118446643104e-12,-1.34006279627504,2.8507821727343448,55807.79107629722
1.0,060614,7.008024284358385e-12,0.03739705042320928,1.5592197147667997,38314.864810957064
2.0,070714B,3.124638057622281e-11,-0.4205086493770987,1.5928323544324374,939.5409823371264
3.0,150424A,3.312738955897109e-09,0.7633958446735991,,
4.0,211211A,4.099403671596392e-06,1.3322467017134128,,
5.0,211227A,3826.601438443098,5.5770093360172375,,
6.0,,,,,
7.0,071227,3.9674660933824175e-10,-1.7695494815483803,5.1310677345716496,173.54585619419373
